1	Test your spelling. What is the -<b>ing</b> form of these verbs?	dance <br>{{c1::dancing}}		
2	Test your spelling. What is the -<b>ing</b> form of these verbs?	grow <br />{{c1::growing}}		
3	Test your spelling. What is the -<b>ing</b> form of these verbs?	lie <br />{{c1::lying}}		
4	Test your spelling. What is the -<b>ing</b> form of these verbs?	pay <br>{{c1::paying}}		
5	Test your spelling. What is the -<b>ing</b> form of these verbs?	arrive <br />{{c1::arriving}}		
6	Test your spelling. What is the -<b>ing</b> form of these verbs?	enjoy <br />{{c1::enjoying}}		
7	Test your spelling. What is the -<b>ing</b> form of these verbs?	breathe <br />{{c1::breathing}}		
8	Test your spelling. What is the -<b>ing</b> form of these verbs?	try <br />{{c1::trying}}		
9	Test your spelling. What is the -<b>ing</b> form of these verbs?	die <br />{{c1::dying}}		
10	Test your spelling. What is the -<b>ing</b> form of these verbs?	decide <br />{{c1::deciding}}		
11	Test your spelling. What is the -<b>ing</b> form of these verbs?	run <br />{{c1::running}}		
12	Test your spelling. What is the -<b>ing</b> form of these verbs?	happen <br />{{c1::happening}}		
13	Test your spelling. What is the -<b>ing</b> form of these verbs?	write <br />{{c1::writing}}		
14	Test your spelling. What is the -<b>ing</b> form of these verbs?	sit <br>{{c1::sitting}}		
15	Test your spelling. What is the -<b>ing</b> form of these verbs?	shoot <br />{{c1::shooting}}		
16	Test your spelling. What is the -<b>ing</b> form of these verbs?	shut <br />{{c1::shutting}}		
17	Test your spelling. What is the -<b>ing</b> form of these verbs?	buy <br />{{c1::buying}}		
18	Test your spelling. What is the -<b>ing</b> form of these verbs?	become <br />{{c1::becoming}}		
19	Test your spelling. What is the -<b>ing</b> form of these verbs?	swim <br />{{c1::swimming}}		
20	Test your spelling. What is the -<b>ing</b> form of these verbs?	stop <br />{{c1::stopping}}		
21	Test your spelling. What is the -<b>ing</b> form of these verbs?	hope <br />{{c1::hoping}}		
22	Test your spelling. What is the -<b>ing</b> form of these verbs?	stay <br />{{c1::staying}}		
23	Complete the sentences.	She's {{c1::taking}} a picture.	crossing / hiding / scratching / taking / tying / waving	"<img src=""rsz_egu_art_u001_1_001_v2.jpg"" />"
24	Complete the sentences.	He's {{c1::tying}} his shoelace.	crossing / hiding / scratching / taking / tying / waving	"<img src=""rsz_egu_art_u001_1_002_v2.jpg"" />"
25	Complete the sentences.	They're {{c1::crossing}} the road.	crossing / hiding / scratching / taking / tying / waving	"<img src=""rsz_egu_art_u001_1_003_v2.jpg"" />"
26	Complete the sentences.	He's {{c1::scratching}} his head.	crossing / hiding / scratching / taking / tying / waving	"<img src=""rsz_egu_art_u001_1_005_v2.jpg"" />"
27	Complete the sentences.	They're {{c1::waving}} to somebody.	crossing / hiding / scratching / taking / tying / waving	"<img src=""rsz_egu_art_u001_1_006_v2.jpg"" />"
28	Complete the sentences.	She's {{c1::hiding}} behind a tree.	crossing / hiding / scratching / taking / tying / waving	"<img src=""rsz_egu_art_u001_1_007_v2.jpg"" />"
29	Which is better, positive or negative?	You can turn off the radio now. {{c1::I'm not listening}} to it.	I'm listening / I'm not listening	
30	Which is better, positive or negative?	Kate phoned me last night. She's on holiday and {{c1::she's having}} a great time. She doesn't want to come back.	she's having / she's not having	
31	Which is better, positive or negative?	Andrew started evening classes recently. He's interested in Japan, so {{c1::he's learning}} Japanese.	he's learning / he's not learning	
32	Which is better, positive or negative?	Paul and Sarah have had an argument. {{c1::They're not speaking}} to each other.	They're speaking / They're not speaking	
33	Which is better, positive or negative?	{{c1::I'm looking}} for Sophie. Do you know where she is?	I'm looking / I'm not looking	
34	Which is better, positive or negative?	This light {{c1::isn't working}}. What's wrong with it?	is working / isn't working	
35	Which is better, positive or negative?	{{c1::I'm trying}} to find a job, but it's not easy right now.	I'm trying / I'm not trying	
36	Which is better, positive or negative?	{{c1::They're building}} a new hospital. It will be finished soon.	They're building / They aren't building	
37	Which is right?	What's the matter? {{c1::Why are you crying?}}	Why you are crying? / Why you crying? / Why are you crying?	
38	Which is right?	Where's your mother? {{c1::Is she working?}}	Is working? / Is she working? / Is working she?	
39	Which is right?	Why are you here? {{c1::What are you doing?}}	What you doing? / What you are doing? / What are you doing?	
40	Which is right?	{{c1::Which hotel are your friends staying at?}}	Which hotel are staying at your friends? / Which hotel your friends are staying at? / Which hotel are your friends staying at?	
41	Which is right?	We don't need to hurry. {{c1::Why are you driving so fast?}}	Why are you driving so fast? / Why you are driving so fast? / Why are driving you so fast?	
42	Which is right?	Who are those people? {{c1::Are they waiting for somebody?}}	Are waiting for somebody? / Are they waiting for somebody? / They waiting for somebody?	
43	Which is right?	{{c1::What is Jess studying at college?}}	What is Jess studying at college? / What is studying Jess at college? / What Jess is studying at college?	
44	Which goes with which?	They don't have anywhere to live right now. {{c1::They're staying with friends.}}	The company is losing money. / She's studying hard for it. / They're staying with friends. / I'm really looking forward to it. / They're trying to sell it. / Everybody is waiting for you. / She's working in a coffee shop. / I'm thinking of moving.	
45	Which goes with which?	Emily has just started a new job. {{c1::She's working in a coffee shop.}}	The company is losing money. / She's studying hard for it. / They're staying with friends. / I'm really looking forward to it. / They're trying to sell it. / Everybody is waiting for you. / She's working in a coffee shop. / I'm thinking of moving.	
46	Which goes with which?	I don't like living here any more. {{c1::I'm thinking of moving.}}	The company is losing money. / She's studying hard for it. / They're staying with friends. / I'm really looking forward to it. / They're trying to sell it. / Everybody is waiting for you. / She's working in a coffee shop. / I'm thinking of moving.	
47	Which goes with which?	Things are not so good at work. {{c1::The company is losing money.}}	The company is losing money. / She's studying hard for it. / They're staying with friends. / I'm really looking forward to it. / They're trying to sell it. / Everybody is waiting for you. / She's working in a coffee shop. / I'm thinking of moving.	
48	Which goes with which?	Hurry up, Sally! {{c1::Everybody is waiting for you.}}	The company is losing money. / She's studying hard for it. / They're staying with friends. / I'm really looking forward to it. / They're trying to sell it. / Everybody is waiting for you. / She's working in a coffee shop. / I'm thinking of moving.	
49	Which goes with which?	Lisa has an exam next week. {{c1::She's studying hard for it.}}	The company is losing money. / She's studying hard for it. / They're staying with friends. / I'm really looking forward to it. / They're trying to sell it. / Everybody is waiting for you. / She's working in a coffee shop. / I'm thinking of moving.	
50	Which goes with which?	They don't need their car any more. {{c1::They're trying to sell it.}}	The company is losing money. / She's studying hard for it. / They're staying with friends. / I'm really looking forward to it. / They're trying to sell it. / Everybody is waiting for you. / She's working in a coffee shop. / I'm thinking of moving.	
51	Which goes with which?	I'm going on holiday next week. {{c1::I'm really looking forward to it.}}	The company is losing money. / She's studying hard for it. / They're staying with friends. / I'm really looking forward to it. / They're trying to sell it. / Everybody is waiting for you. / She's working in a coffee shop. / I'm thinking of moving.	
52	Complete the sentences.	I need to eat something soon.<br />I'm {{c1::getting hungry}} .	getting better / getting dark / getting hungry / getting late / getting old / getting tired	
53	Complete the sentences.	I'm going to turn the light on. It's {{c1::getting dark}} .	getting better / getting dark / getting hungry / getting late / getting old / getting tired	
54	Complete the sentences.	The weather isn't as bad as it was. It's {{c1::getting better}} .	getting better / getting dark / getting hungry / getting late / getting old / getting tired	
55	Complete the sentences.	I'll have to go to bed soon. I'm {{c1::getting tired}} .	getting better / getting dark / getting hungry / getting late / getting old / getting tired	
56	Complete the sentences.	We need to leave soon. It's {{c1::getting late}} .	getting better / getting dark / getting hungry / getting late / getting old / getting tired	
