Which of the following works is not written by William Wordsworth?	The Thorn	The Idiot Boy	Simon Lee	Beyond	Beyond
"Who refers to William Wordsworth as an ""ever enduring man""?"	Dr. Johnson	John Keats	De Quincey	S.T. Coleridge	S.T. Coleridge
A Modern Comedy is written by:	John Galsworthy	William Shakespeare	Ben Jonson	Sheridan	John Galsworthy
John Galsworthy's ideas on drama are found in:	The Inn of Tranquillity	The Patrician	Maid in waiting	Indian Summer of a Forsyte	The Inn of Tranquillity
Cokeson is a character in:	Justice	Macbeth	Areopagitica	As You Like it	Justice
Williams Shakespeare's The Comedy of Errors was a free adaptation of:	The Spanish Tragedie of Thomas Kyd	Menaechmi of Plautus	Chronicles of England by Holinshed	Decameron by Boccacio	Menaechmi of Plautus
"Who exclaims in his sonnet that, ""Under this carved marble of thine own, sleep, brave tragedian, Shakespeare, sleep alone""?"	Ben Jonson	Michel Drayton	John Dryden	William Basse	William Basse
"Who describes William Shakespeare as, ""an upstart crow beautified with our feathers""?"	John Lyly	Robert Greene	George Peele	Christopher Marlowe	Robert Greene
"Who remarked about his father as given below: ""My father destined me from my infancy to the study of polite literature, which I embraced with such avidity, that from the age of twelve, I hardly ever retired from my books before midnight""."	John Milton	William Wordsworth	Lord Alfred Tennyson	John Galsworthy	John Milton
"For whom did William Wordsworth speak in his famous line, ""Thy soul was like a star, and dwelt apart""?"	W. Shakespeare	John Galsworthy	John Milton	Spenser	John Milton
Milton's Paradise Regained takes its theme from:	St. Catherine's Sermons	St. Luke's Gospel	The Bible	Jesus Christ's Preachings	St. Luke's Gospel
"In which work of Wordsworth does the line ""still, sad music of humanity"" occur?"	Tintern Abbey	The Recluse	Immortality Ode	The Prelude	Tintern Abbey
"In which poem of Wordsworth, does the line, ""Our birth is but a sleep and a forgetting"", occur?"	Tintern Abbey	The Recluse	The Prelude	Immortality Ode	Immortality Ode
Which of the following is a 'pastoral elegy'?	Elegy written in a Country Churchyard	In Memoriam	Lycidas	Duino Elegy	Lycidas
Lyrical Ballads was published in the year:	1789	1798	1785	1791	1798
What kind of plays did Galsworthy write?	Problem plays	Poetic drama	Absurd drama	Kitchensink drama	Problem plays
Which is the incorrect sentence?	You have twenty rupees	I have two ten-rupee notes	India cannot accept the two-nations theory	Mankind is demented	India cannot accept the two-nations theory
The famous epic Paradise Lost by Milton contains:	16 books	12 books	10 books	14 books	12 books
Which of the following plays of Shakespeare is not a comedy?	As You Like It	Twelfth Night	A Midsummer Night's Dream	Antony and Cleopatra	Antony and Cleopatra
'Lyric' has been the most popular form of poetry during:	Early 18th Century	Late 18th century and Complete 19th Century	Early 20th Century	Mid 20th Century	Late 18th century and Complete 19th Century
Which form of poetry is the poem, 'The Solitary Reaper'?	Ode	Lyric	Ballad	Elegy	Lyric
'Desdemona', famous Shakespearean character, belongs to which of the following plays?	King Lear	Othello	Hamlet	Twelfth Night	Othello
"""Life's but a walking shadow... It is a tale told by an idiot, full of sound and fury, signifying nothing."" Aforesaid lines spoken by Macbeth occur in:"	Act III, Scene I of Macbeth	Act V, Scene V of Macbeth	Act IV, Scene I of Macbeth	Act V, Scene III of Macbeth	Act V, Scene V of Macbeth
Which of the following words is misspelt?	Convenience	Yacht	Indispensable	Consciensious	Consciensious
Which of the following statements is incorrect as a rule of grammar?	'Shall' with the subject in the second and third person introduces the idea of compulsion	'Will' with the subject in the first person expresses bleak sense of determination.	'Should' with the second and third persons means 'ought to'.	'Would' with the subject in the first person gives emphasis.	'Will' with the subject in the first person expresses bleak sense of determination.
Which of the following is mismatched with reference to John Milton's work?	Of Education : 1644	Areopagitica: 1647	Lycidas: 1637	Paradise Lost: 1667	Areopagitica: 1647
Which of the following verbs is not followed by correct preposition?	amalgamate with	anxious at	bound to	beneficient to	anxious at
"Which of the following statements is incorrect with reference to ""colon""?"	"The ""colon"" is used to introduce a list."	"The ""colon"" is used to introduce an explanation."	"The ""colon"" is used to separate two contracts."	"The ""colon"" is used to separate two related clauses."	"The ""colon"" is used to separate two related clauses."
"""Beggars description"" means:"	Beyond description	By chance	Less described	Poorly described	Beyond description
Which of the following pairs is mismatched with reference to masculine-feminine gender sequence?	Boar: Sow	Buck: Doe	Fox: Vixen	Buck Rabbit: Pea Rabbit	Buck Rabbit: Pea Rabbit
Which of the following is not a synonym of 'Frenzy'?	Rage	Gulle	Excitement	Enthusiasm	Gulle
In the First Folio edition of Shakespeare's dramas, which play was omitted?	Macbeth	Pericles	A Midsummer Night's Dream	Titus Andronicus	Pericles
Which of the following plays is a social satire dealing with the fashion and fads of the day?	A Midsummer Night's Dream	Antony and Cleopatra	Love's Labour Lost	As You Like It	Love's Labour Lost
In the state of his blindness, with whom does Milton not compare himself?	Blind Thamyris	Blind Maeonides	Tiresias and Phineus	Lycidas	Lycidas
Who is often called as 'The Poetical Son of Spenser'?	John Milton	William Shakespeare	Alfred, Lord Tennyson	John Galsworthy	John Milton
In the opening invocation of the Paradise Lost 'Oreb' refers to:	Spirit	Siloa	Mt. Horeb	Aonian	Mt. Horeb
In William Wordsworth's 'The Solitary Reaper', The Solitary Highland Lass' is:	A girl from Ireland	A girl from Scotland	A girl from Arabian Sands	None of the above	A girl from Scotland
"From which poem of William Wordsworth, is the line-""Our birth is but a sleep and a forgetting"" taken?"	Intimations of Immortality from Recollections of Early childhood	Upon Westminister Bridge	Lucy	The world is too much with us	Intimations of Immortality from Recollections of Early childhood
Which of the following works is a novelette written by John Galsworthy?	The Skin Game	The Second Mrs Tanqueray	The Apple Tree	The Eldest Son	The Apple Tree
As a dramatist John Galsworthy belongs to the:	Romantic tradition	Psychological tradition/school	Realist tradition of Jones and Pinero	Tradition of Edward Bond	Realist tradition of Jones and Pinero
In The Forsyte Saga, the Forsytes belong to:	a country side family	a typical city family	the family of imaginary Islanders	none of the above	a typical city family
"Which work has been called by Shakespeare as, ""the first heir of my invention'?"	Hero and Leander	The Rape of Lucrece	Venus and Adonis	The Comedy of Errors	Venus and Adonis
William Shakespeare died on:	April 20, 1616	April 28, 1616	April 23, 1616	April 25, 1616	April 23, 1616
What was the name of the house of Shakespeare in Stratford?	New Place	Stratford House	Grand Palace	High Place	New Place
Which is the correct serial of the tragedies of Shakespeare?	Hamlet, King Lear, Machbeth, Othello	Hamlet, Othello, King Lear, Macbeth	Othello, King Lear, Hamlet, Macbeth	Hamlet, Macbeth, King Lear, Othello	Hamlet, Othello, King Lear, Macbeth
"In which work, Milton states that ""While the still Morn went out with sandals grey""?"	L'Allegro	Il Penseroso	Comus	Lycidas	Lycidas
Through which work does Milton intend, 'to justify the ways of God to men'?	Lycidas	Paradise Regained	Samson Agonistes	Paradise Lost	Paradise Lost
In which work of John Milton does the character 'Delilah', appear?	Paradise Lost	Paradise Regained	Comus	Samson Agonistes	Samson Agonistes
Wordsworth's The Borderers comes under the category of:	Prose tragedy	Epic	Verse tragedy	Ode	Verse tragedy
In 1609, a collection of Shakespeare's sonnet was printed by:	Dark Lady of the Sonnets	Mr. W.H.	Thomas Thorpe	George Peele	Thomas Thorpe
An alternative name for prose 'epigram' is:	Aphorism	Epigramospo	Epiprosonium	Apophthegm	Aphorism
Which, out of the following is not a poem by Wordsworth?	'London 1802'	'Strange Fits of Passion Have I Known'	'The Solitary Reaper'	'London'	'London'
"""Little we see in nature that is ours"" is a line from:"	"""Tintern Abbey"""	"""Immortality Ode"""	"""Daffodils"""	"""The world is too much with us"""	"""The world is too much with us"""
Which of the following Shakespearean plays is in three parts?	Henry IV	Richard III	Richard II	Henry VI	Henry VI
"The line, ""They also serve who only stand and wait"", occurs in which of the following poems?"	'True Love' by Shakespeare	'On His Blindness' by Milton	'Daffodils' by Milton	'Ode on a Grecian Urn' by John Keats	'On His Blindness' by Milton
Which of the following plays of Shakespeare does not belong to the last phase of his career?	Much Ado About Nothing	The Tempest	Cymbeline	The Winter's Tale	Much Ado About Nothing
Which famous romantic poem contains the line ___ 'Beauty is truth, truth beauty'?	'The World is Too Much With Us'	Ode to a Nightingale	To a Skylark	Ode on a Grecian Urn	Ode on a Grecian Urn
Direction: Following sentences have been transformed as per directions given in their brackets. Choose the correct sentence from the choices given. As the weather was bad, we stayed indoors. (Simple sentence)	The weather was bad and we stayed indoors	Since the weather was bad, we stayed indoors	It being a bad weather we stayed indoors	None of these	It being a bad weather we stayed indoors
Direction: Following sentences have been transformed as per directions given in their brackets. Choose the correct sentence from the choices given. He is believed to have died of malaria. (Complex sentence)	He is believed that he would have died of malaria	It is believed that he died of malaria	It is believed that malaria is the cause of his death	People believe that he died of malaria	It is believed that he died of malaria
Shakespeare's popular play Merchant of Venice belongs to which of the following literary forms?	Comedy	Romance	Tragicomedy	History play	Tragicomedy
Which of the following is the dominant theme of Shakespeare's famous play 'King Lear'?	Jealousy	Ambition	Revenge	Filial Ingratitude	Filial Ingratitude
Which of the following characters does not belong to famous Shakespearean tragedy, Hamlet?	Ophelia	Claudius	Polonius	Cassio	Cassio
Directions: Choose the appropriate preposition from the options given below each of the following sentences: Can the doctor cure him _____ asthma?	of	from	in	within	of
Directions: Choose the appropriate preposition from the options given below each of the following sentences: You cannot prevent me _______ working.	to	of	from	at	from
Directions: Choose the appropriate preposition from the options given below each of the following sentences: I have not seen him _____ last month.	for	from	since	till	since
Directions: Choose the appropriate preposition from the options given below each of the following sentences: Your behaviour does not admit ______ any excuses.	in	of	for	to	of
Which of the following poems is not composed by John Milton?	On His Blindness	L' Allegro	True Love	Il Penseroso	True Love
UBIQUITOUS denotes:	All powerful	Too much assertive	Loyal and sincere	Seeming to be everywhere at the same time	Seeming to be everywhere at the same time
UNENVIABLE denotes:	Arousing envy	Difficult or unpleasant	That which is not accessible	Something that is not unavoidable	Difficult or unpleasant
INCUMBENCY denotes:	State of being in a privileged condition	Protection against any possible financial loss	An official position or the duration when one holds it	Period which is counted for the purposes of pension	An official position or the duration when one holds it
The opposite of clandestine is:	Open	Secret	Surreptitious	Serious	Open
Lugubrious means:	Dejected	Buttery	Imbecile	Jovial	Dejected
Directions: Choose the sentence which makes appropriate use of verbs given in the brackets. The police (kill) you, if you (try) to run away.	The police (kills) you, if you (try) to run away	The police (will kill) you, if you (try) to run away	The police (may kill) you, if you (tried) to run away	The police (would kill) you, if you (shall try) to run away	The police (will kill) you, if you (try) to run away
Directions: Choose the sentence which makes appropriate use of verbs given in the brackets. I (be) there, situation (be) different.	I (had been) there, situation (was) different	I (was) there, situation (was) different	(Had) I (been) there, situation (would have been) different	(Had) I (been) there, situation (had been) different	(Had) I (been) there, situation (would have been) different
Directions: Choose the sentence which makes appropriate use of verbs given in the brackets. If I (be) God, I (eliminate) all suffering.	If I (was) God, I (could eliminate) all suffering	If I (were God), I (would eliminate) all suffering	If I (had been) God, I (had eliminate) all suffering.	If I (am) God, I (can eliminate) all suffering	If I (were God), I (would eliminate) all suffering
Directions: Choose the sentence which makes appropriate use of verbs given in the brackets. I (wish) that you (be) right.	I (wished) that you (had been) right	I (wish) that you (were) right	I (wish) that you (will be) right	I (may wish) that you (were) right	I (wish) that you (were) right
The good book of the hour, then, _____ I do not speak of the bad ones _______ is simply the useful or pleasant talk of some person whom you cannot otherwise converse with, printed for you. Very useful often, telling you what you need to know; very pleasant often; as a sensible friend's present talk would be. These bright accounts of travels; good-humoured and witty discussion; lively or pathetic story telling in the form of novel; firm fact-telling, by the real agents concerned in the events of passing history; all these books of the hour, multiplying among us as education becomes more general, are a peculiar characteristic and possession of the present age. We ought to be entirely thankful for them, and entirely ashamed of ourselves if we make no good use of them. But we make the worst possible use, if we allow them to usurp the place of true books: for, strictly speaking, they are not books at all, but strictly speaking, they are not books at all, but merely letters or newspapers in good print. How, according to the author, is the good book of the hour very useful?	Because it gives the information required by you	Because it is in printed form	Because it gives you pleasure	Because it is in the form of conversation	Because it gives the information required by you
Which of the following statements is not TRUE?	The books of the hour are multiplying	They are peculier characteristic of the present age	They are true scriptures of their writers	We must be thankful for them	They are true scriptures of their writers
How does the writer define the good book of the hour?	The good book of the hour is informative in nature	It is the useful or pleasant talk of someone in print	The good book of the hour is mere communication	The good book of the hours has no permanent value	It is the useful or pleasant talk of someone in print
Which of the following conclusions based on the passage is not TRUE?	There are good books for all time	The good books of the hour are useful as well as pleasant	In the present age books of the hour are multiplying with the expansion of education	True books have been replaced by books of the hour when we make the worst possible use of them	There are good books for all time
'The book of the hour' does not deal with one of the following. Identify.	Travel accounts	Story-telling	Fact-telling	Preservation of knowledge	Preservation of knowledge
Directions: Choose the option which is closest in meaning to the word given in CAPITALS: MODERATE	Not extreme	Compromising	Idealistic	Superficial	Not extreme
Directions: Choose the option which is closest in meaning to the word given in CAPITALS: IMPROPRIETY	State of confusion and chaos	Actions that are legally unsustainable	Unlawful activities	Actions that are morally wrong	Actions that are morally wrong
Directions: Choose the option which is closest in meaning to the word given in CAPITALS: BIZARRE	Imaginary	Non-existent	Extremely pathetic	Very strange or unusual	Very strange or unusual
Directions: Choose the option which is closest in meaning to the word given in CAPITALS: ASSIDUOUS	Anxious	Indifferent to one's surroundings	Working hard and taking great care	Too much worried about one's health	Working hard and taking great care
Directions: Choose the option which is closest in meaning to the word given in CAPITALS: IGNOMINY	State of disorder	Loss of public property	Public shame	Disappointment	Public shame
The correct spelling is:	Perseverance	Persiverance	Persivarance	Perseverence	Perseverance
The correct spelling is:	Haemorhage	Hamorrhage	Haemorrhage	Hemorrhage	Haemorrhage
The correct spelling is:	Accommodate	Acommodate	Accomodate	Accomodete	Accommodate
The correct spelling is:	Eflorescence	Efflorascence	Efflorescence	Efflerescence	Efflorescence
The correct spelling is:	Reminescent	Riminescent	Riminisent	Reminiscent	Reminiscent
Directions: Identify the correct form of verb/phrase out of the given choices so as to complete following sentences: Hardly ______ reached her home when the rain started.	she	had she	did she	she had	had she
Directions: Identify the correct form of verb/phrase out of the given choices so as to complete following sentences: The boss wanted to know ______ done the job.	how I had	that how had I	how would I have	how had I	how I had
Directions: Identify the correct form of verb/phrase out of the given choices so as to complete following sentences I wish I ______ a king.	were	was	am	shall be	were
Directions: Four alternative ways of converting the direct speech into indirect speech are suggested for each of the following sentences. Find out the correct one: 'Don't go near the water, children', she said.	She suggested that the children should not go near the water	She asked the children that they may not go near the water	She urged the children that they might not go near the water	She warned the children not to go near the water	She warned the children not to go near the water
Directions: Four alternative ways of converting the direct speech into indirect speech are suggested for each of the following sentences. Find out the correct one: He said, 'Please, please give me another chance'.	He said politely that he may be given another chance	He begged them to give him another chance	He requested if he can be given another chance	He requested if he could be given another chance	He begged them to give him another chance
"The meaning of the idiom ""a broken reed"" is:"	futile effort	rare	unreliable	a sudden great shock	unreliable
"The masculine gender of ""Goose"" is:"	Drone	Drake	Gander	None of the above	Gander
Which of the following is not correct (with reference to narration)?	In changing direct speech into Indirect speech, a simple present becomes a simple past when the reported verb is in past tense form.	The 'shall' of the future tense is changed into 'should' when the reported verb is in past tense form.	The 'will' of the future tense is changed into 'shall' and 'should' when the reported verb is in past tense form.	The pronouns of the direct speech are changed where necessary.	The 'will' of the future tense is changed into 'shall' and 'should' when the reported verb is in past tense form.
In the formation of nouns from verbs which of the following is not correct?	Abdicate - Abdication	Abdicate - Abduction	Adopt - Adoption	Affect - Affectation	Abdicate - Abduction
Which of the following words has correct spelling?	Rendezvous	Rendau	Rendawoos	None of the above	Rendezvous
Which of the following rules is not correct (with reference to narration)?	When the reporting is, in the principal verb, in the past tense, all present tenses of the direct are changed into the corresponding past tenses.	If the reporting verb is in the present tense, the tenses of the direct speech do not change.	The pronouns of the direct speech are changed where necessary.	Words expressing nearness in time or place never change.	Words expressing nearness in time or place never change.
Which of the following statements is not correct with reference to English grammar?	Case is a modification of the noun to distinguish its relation to other words.	Normative case has no relationship with a finite verb.	Possessive case denotes ownership or possession.	Objective case denotes a direct object of a transitive verb or the indirect object of a preposition.	Normative case has no relationship with a finite verb.
Which of the following statements is not correct?	Numerical adjectives include the cardinal and the ordinal numbers.	Partitive adjectives denote a part of a class or object.	Descriptive adjectives denote quality, kind or condition.	Proper adjectives are non-descriptive adjectives.	Proper adjectives are non-descriptive adjectives.
"In the expression. ""Teaching is a science"". the italicised word is:"	Verbal noun	Abstract noun	Concrete noun	None of the above	Verbal noun
Which statement is not correct with reference to primary auxiliary?	Primary auxiliaries may be used independently as principal verbs (in some cases).	Primary auxiliaries may change according to person, number and gender.	Primary auxiliaries may be used as infinite forms of the verb if 'to' precedes them.	The sole purpose of primary auxiliary is to demonstrate the super segmental feature of expression.	The sole purpose of primary auxiliary is to demonstrate the super segmental feature of expression.
Which of the following is an example of Indirect Personal Pronoun, reflexive?	they	one-another	myself	to-myself	to-myself
Which of the following sentences is grammatically correct?	We rarely see a lion.	We scarcely see a lion.	He played good.	He lives miserly.	We rarely see a lion.
Which of the following is grammatically incorrect?	Write in ink.	He threw the stick into the river.	We went nearby the station.	He was a favourite with his friends.	We went nearby the station.
Which of the following pairs is mismatched?	Simple preposition : after	Compound preposition : off	"Disguised preposition : ""a"" and ""o"""	Participle preposition : in lieu of	Participle preposition : in lieu of
Which of the following expressions is correct?	Yours sincerely	Your' s sincerely	Your sincerely	Your's sincerely	Yours sincerely
Which of the following sentences is grammatically correct?	Everyone should pray God.	He wrote to me.	He wrote me.	He suggested me this.	He wrote to me.
Which of the following pairs is mismatched?	Hamlet : 1601	Twelfth Night : 1601	Cymbeline : 1608	The Tempest : 1611	Cymbeline : 1608
Which of the following is not a title to a play written by William Shakespeare?	Henry VI	Henry VIII	Henry IV	Henry VII	Henry VII
Which of the following statements is incorrect with reference to John Milton?	In 1671, Milton issued his last volume of poetry, which contained 'Paradise Regained' and 'Samson Agonistes'.	'Paradise Regained' is briefer and poorer than 'Paradise Lost'.	'Samson Agonistes', in form, has no unity of time, place and action.	'Lycidas' has the colour and music of the best spenserian verse.	'Samson Agonistes', in form, has no unity of time, place and action.
In which of the following the adjective is not followed by correct preposition?	Careful of dress	Annoyed at things	Busy at lessons	Horrified at the sight	Careful of dress
With reference to the use of Punctuation marks, which of the following statements is not correct?	"A ""dash"" is never used to show a sudden change in thought"	"A ""dash"" is used to set off words in apposition or explanation."	"A ""caret"" is put below and aside the word or letter if some letter or word is to be inserted."	"A ""dash"" is used to summarize several subjects all belonging to the same verb."	"A ""dash"" is never used to show a sudden change in thought"
Which of the following idiomatic comparison is not correct?	As bitter as gall	As cheerful as bark	As red as cherry	As silent as star	As cheerful as bark
Which of the following is mismatched with reference to word/antonym sequence?	Acquit : Convict	Grand : Ordinary	Humble : Haughty	Desolate : Percolate	Desolate : Percolate
Which of the following works of William Shakespeare is written in six-line stanza and shows decided sings of immaturity?	The Passionate Pilgrim	The Rape of Lucrece	Venus and Adonis	None of the above	Venus and Adonis
Which of the following plays depicts middle-class provincial life?	The Merry Wives	A Midsummer Night's Dream	Antony and Cleopatra	The Winter's Tale	The Merry Wives
Which of the following work is not written by John Milton?	Of Education	Areopagitica	On Shakespeare	Alma or the Progress of the Mind	Alma or the Progress of the Mind
Which of the following works is not written by John Milton?	On His Blindness	On the Late Massacre of Piedmont	Ode on the Morning of Christ's Nativity	The Passionate Pilgrim	The Passionate Pilgrim
Which of the following statements is true about Milton's sonnet 'On His Blindness'?	'On His Blindness' is a precursor to 'Lycidas'	'On His Blindness' is a curtel sonnet	Milton did not give a title to his sonnet. The title 'On His Blindness' is given by later anthologists	None of the above	Milton did not give a title to his sonnet. The title 'On His Blindness' is given by later anthologists
'An Evening Walk' is written by:	William Wordsworth	William Shakespeare	John Milton	John Galsworthy	William Wordsworth
